-> To import the database, do the following in command line:

$ mysqladmin create ULVZ_DB
$ mysql ULVZ_DB < ULVZ_DB.MariaDB.sql

-> An ascii format of the database:

+------+-----------+-------+--------+-------+-----------+-------------------------------+-----------------+---------------------------------------------------------------+--------+-------+--------+-----------------------------------------------------------------------------------------------------------------------------------------+
| Ref  | Code      | dVp   | dVs    | dRho  | Thickness | PaperName                     | Phase_Method    | Region_Detection                                              | Period | Dist  | Az     | Notes                                                                                                                                   |
|   13 | wCoral    |  NULL |   NULL |  NULL |      NULL | Rost et al. [2006]            | ScP(w)          | Coral Sea(w)                                                  |  0.625 |  41.5 |   -100 | NULL                                                                                                                                    |
|   14 | Red       |    -5 |    -30 |  NULL |        50 | Thomas et al. [2009]          | PKP(a,w)        | Coral Sea(y)                                                  |      5 |  42.2 |  -93.8 | NULL                                                                                                                                    |
|   14 | Green     |  NULL |   NULL |  NULL |      NULL | Thomas et al. [2009]          | PKP(a,w)        | Tasman Sea(n)                                                 |      5 |  43.5 |  -99.5 | NULL                                                                                                                                    |
|   14 | GRSN      |  NULL |   NULL |  NULL |      NULL | Thomas et al. [2009]          | PKP(a,w)        | West Pacific(w)                                               |      5 | 42.88 | -22.66 | NULL                                                                                                                                    |
|   15 | AM        |   -15 |   NULL |  NULL |      NULL | Zou et al. [2007]             | PKP(a,s)        | Amazon River(y)                                               |   NULL |  NULL |   NULL | NULL                                                                                                                                    |
|   16 | yGlobal   | -6.25 | -12.43 | 16.27 |      8.95 | Thorne and Garnero [2004]     | SKS(w)          | Global(y)                                                     |     10 |  NULL |   NULL | NULL                                                                                                                                    |
|   16 | wGlobal   | -6.28 | -12.08 | 13.51 |      3.09 | Thorne and Garnero [2004]     | SKS(w)          | Global(w)                                                     |     10 |  NULL |   NULL | NULL                                                                                                                                    |
|   16 | nGlobal   |  NULL |   NULL |  NULL |      NULL | Thorne and Garnero [2004]     | SKS(w)          | Global(n)                                                     |     10 |  NULL |   NULL | NULL                                                                                                                                    |
|   17 | bin3      |  NULL |   NULL |  NULL |      NULL | Ross et al. [2004]            | PcP(w)          | West Siberia(n)                                               |    0.5 |  NULL |   NULL | NULL                                                                                                                                    |
|   17 | Batholith |  NULL |   NULL |  NULL |      NULL | Ross et al. [2004]            | PcP(w)          | West Siberia(w)                                               |    0.5 |  NULL |   NULL | NULL                                                                                                                                    |
