13.2725 127.0659 -34.8900
8.1258 119.2719 -45.0
13.6127 127.9932 -32.7900
14.2734 126.2157 -35.300
1.2241 121.6765 -24.100
-26.2034 165.9676 -18.000
6.6508 118.9299 -30.9950
5.9108 115.6167 -32.1700
11.0538 124.2098 -25.7500
5.8345 116.2439 -25.0
0.3975 120.4766 -25.9200
7.8580 119.4651 -26.0
0.6230 120.9225 -28.0150
5.4625 114.6275 -24.0
11.9831 125.6093 -34.9250
1.0998 121.2296 -18.00
-26.2162 166.2163 -13.0
-25.0836 166.1428 -8.9400
12.3232 125.5920 -16.0000
12.8049 125.8976 -14.4150
0.7031 120.4722 -20.1750
-24.0935 166.2407 -24.00
14.2007 125.5381 -25.0
-23.8515 168.3012 -25.76
-18.2516 157.3704 -18.0
-16.9997 157.2542 -18.0
-26.8424 166.0688 -20.0
-25.7133 166.0107 -20.0
-21.1446 158.8981 -15.0
-19.8986 158.8020 -15.0
5.9433 116.0225 -37.0300
11.0997 124.6111 -17.6600
12.6344 125.7920 -21.1800
0.5548 120.7019 -32.265
14.7107 125.7663 -33.00
15.1352 126.8819 -31.2450
15.5664 127.6460 -22.6950
16.4402 127.6240 -20.5700
13.0184 124.4419 -25.0000
13.4188 125.2875 -19.5450
13.5932 125.4877 -33.0
