1.928	9.379
2.349	9.287
2.684	9.196
3.105	9.104
3.526	9.013
3.862	8.920
4.283	8.829
4.702	8.737
5.039	8.645
5.459	8.553
5.880	8.462
6.217	8.370
6.638	8.278
7.057	8.279
7.393	8.187
7.814	8.096
8.234	8.005
8.571	8.005
8.992	7.914
9.412	7.821
9.743	7.821
1.749	8.828
2.169	8.737
2.590	8.553
2.926	8.462
3.347	8.369
3.766	8.277
4.104	8.186
4.524	8.093
4.945	8.003
5.364	7.910
5.701	7.819
6.122	7.727
6.543	7.727
6.879	7.636
7.300	7.545
7.720	7.453
8.142	7.453
8.479	7.362
8.899	7.270
9.320	7.198
9.737	7.194
1.662	8.179
1.999	8.091
2.418	7.996
2.839	7.905
3.260	7.724
3.596	7.630
4.016	7.547
4.436	7.449
4.774	7.364
5.194	7.267
5.614	7.265
6.035	7.175
6.370	7.083
6.792	6.992
7.212	6.901
7.633	6.811
8.054	6.811
8.390	6.719
8.810	6.628
9.230	6.628
9.653	6.536
1.504	7.550
1.922	7.450
2.342	7.357
2.679	7.267
3.100	7.176
3.520	7.086
3.940	6.993
4.277	6.903
4.697	6.811
5.119	6.720
5.539	6.628
5.875	6.538
6.296	6.446
6.719	6.355
7.139	6.263
7.559	6.264
7.896	6.173
8.319	6.084
8.739	5.990
9.159	5.990
9.580	5.898
1.326	6.999
1.747	6.906
2.168	6.723
2.588	6.631
3.008	6.540
3.345	6.448
3.766	6.356
4.186	6.264
4.607	6.172
5.028	6.081
5.365	5.989
5.784	5.900
6.209	5.811
6.628	5.715
7.048	5.716
7.468	5.623
7.808	5.537
8.227	5.440
8.648	5.440
9.069	5.350
9.490	5.257
1.247	6.356
1.666	6.264
2.003	6.172
2.425	6.084
2.845	5.901
3.265	5.807
3.686	5.723
4.106	5.625
4.443	5.539
4.863	5.443
5.284	5.355
5.706	5.266
6.127	5.265
6.547	5.174
6.969	5.086
7.391	4.988
7.727	4.895
8.147	4.895
8.567	4.804
8.989	4.713
9.410	4.712
1.076	5.727
1.497	5.634
1.916	5.545
2.337	5.452
2.673	5.360
3.094	5.269
3.515	5.178
3.935	5.085
4.356	4.994
4.776	4.903
5.197	4.813
5.616	4.721
6.037	4.629
6.457	4.538
6.877	4.446
7.213	4.355
7.633	4.355
8.055	4.264
8.475	4.173
8.896	4.081
9.317	4.081
0.912	5.173
1.331	5.082
1.752	4.900
2.173	4.809
2.593	4.716
3.014	4.625
3.435	4.534
3.854	4.443
4.276	4.352
4.695	4.261
5.116	4.172
5.537	4.079
5.874	4.003
6.293	3.898
6.713	3.805
7.135	3.805
7.554	3.714
7.974	3.622
8.395	3.531
8.815	3.532
9.225	3.439
0.832	4.536
1.253	4.445
1.672	4.353
2.009	4.263
2.434	4.094
2.850	3.988
3.270	3.898
3.691	3.812
4.111	3.715
4.532	3.624
4.952	3.533
5.372	3.441
5.793	3.350
6.215	3.350
6.634	3.259
7.055	3.167
7.476	3.077
7.898	2.984
8.318	2.984
8.739	2.894
9.224	2.801
0.656	3.992
1.077	3.818
1.498	3.727
1.919	3.636
2.339	3.543
2.759	3.452
3.179	3.361
3.601	3.269
4.021	3.175
4.442	3.084
4.863	2.992
5.286	2.900
5.705	2.809
6.126	2.717
6.549	2.626
6.969	2.534
7.390	2.441
7.811	2.441
8.316	2.350
8.735	2.259
9.156	2.260
0.495	3.349
0.914	3.258
1.335	3.168
1.756	2.983
2.175	2.893
2.598	2.808
3.101	2.711
3.522	2.619
3.942	2.528
4.362	2.437
4.783	2.347
5.203	2.254
5.625	2.166
6.044	2.072
6.465	1.982
6.887	1.981
7.306	1.890
7.726	1.799
8.231	1.708
8.653	1.708
9.075	1.615
0.404	2.803
0.823	2.621
1.244	2.529
1.664	2.438
2.086	2.355
2.506	2.255
2.925	2.072
3.347	1.981
3.775	1.904
4.186	1.799
4.692	1.707
5.112	1.617
5.532	1.525
5.952	1.524
6.373	1.434
6.794	1.343
7.213	1.252
7.718	1.160
8.138	1.160
8.560	1.070
8.979	0.977
0.244	2.172
0.657	2.080
1.077	1.988
1.498	1.824
1.919	1.715
2.423	1.627
2.843	1.531
3.263	1.438
3.684	1.347
4.105	1.254
4.525	1.162
4.945	1.071
5.450	0.979
5.870	0.888
6.291	0.796
6.712	0.704
7.132	0.613
7.637	0.613
8.057	0.521
8.478	0.430
8.898	0.431
