4.461	6.670
4.442	6.637
4.423	6.604
4.406	6.567
4.383	6.529
4.363	6.486
4.343	6.442
4.325	6.396
4.311	6.364
4.300	6.321
4.289	6.289
4.279	6.257
4.271	6.225
4.262	6.182
4.254	6.144
4.247	6.107
4.243	6.075
4.236	6.043
4.228	6.000
4.223	5.968
4.214	5.930
4.205	5.888
4.195	5.845
4.188	5.807
4.178	5.775
4.173	5.743
4.163	5.701
4.153	5.658
4.144	5.615
4.137	5.583
4.134	5.551
4.129	5.519
4.128	5.487
4.130	5.455
4.134	5.412
4.136	5.374
4.138	5.337
4.143	5.299
4.143	5.267
4.139	5.230
4.135	5.193
4.125	5.151
4.115	5.119
4.102	5.070
4.091	5.037
4.084	5.005
4.076	4.968
4.071	4.930
4.066	4.893
4.058	4.856
4.046	4.816
4.029	4.784
4.031	4.749
4.018	4.706
4.005	4.674
3.990	4.631
3.975	4.599
3.959	4.556
3.946	4.524
3.934	4.481
3.919	4.443
3.908	4.411
3.899	4.378
3.890	4.342
3.879	4.305
3.870	4.267
3.860	4.235
3.850	4.204
3.837	4.171
3.824	4.128
3.809	4.091
3.794	4.053
3.783	4.021
3.777	3.989
3.767	3.957
3.758	3.925
3.747	3.882
3.740	3.840
3.737	3.797
3.739	3.754
3.760	3.713
3.777	3.679
3.799	3.649
3.823	3.624
3.851	3.592
3.875	3.564
3.908	3.535
3.940	3.504
3.963	3.476
3.997	3.448
4.027	3.418
4.056	3.385
4.086	3.353
4.115	3.320
4.145	3.288
4.177	3.260
4.201	3.234
4.236	3.207
4.265	3.182
4.294	3.162
4.328	3.144
4.364	3.119
4.397	3.098
4.423	3.074
4.448	3.049
4.479	3.020
4.502	2.991
4.531	2.949
4.547	2.920
4.571	2.883
4.590	2.851
4.612	2.821
4.643	2.778
4.668	2.740
4.694	2.716
4.721	2.683
4.754	2.645
4.789	2.616
4.816	2.592
4.852	2.566
4.881	2.544
4.916	2.519
4.951	2.502
4.979	2.489
5.010	2.479
5.049	2.470
5.079	2.462
5.109	2.453
5.144	2.444
5.182	2.433
5.217	2.425
5.257	2.419
5.296	2.414
5.331	2.412
5.366	2.419
5.405	2.432
5.445	2.453
5.474	2.473
5.502	2.496
5.529	2.519
5.564	2.554
5.598	2.583
5.629	2.614
5.658	2.646
5.686	2.679
5.713	2.714
5.737	2.741
5.764	2.778
5.786	2.807
5.810	2.845
5.834	2.873
5.855	2.903
5.878	2.930
5.901	2.972
5.923	3.002
5.943	3.032
5.963	3.063
5.983	3.095
6.003	3.129
6.022	3.162
6.038	3.198
6.062	3.236
6.077	3.273
6.099	3.316
6.119	3.358
6.140	3.401
6.159	3.444
6.176	3.487
6.190	3.516
6.208	3.561
6.220	3.592
6.234	3.636
6.250	3.674
6.269	3.722
6.287	3.765
6.306	3.807
6.325	3.850
6.345	3.893
6.364	3.936
6.378	3.964
6.397	4.011
6.410	4.043
6.421	4.086
6.431	4.118
6.441	4.150
6.451	4.182
6.462	4.214
6.476	4.253
6.487	4.284
6.498	4.315
6.513	4.353
6.524	4.385
6.530	4.417
6.540	4.449
6.556	4.488
6.566	4.519
6.577	4.550
6.591	4.588
6.601	4.620
6.611	4.652
6.621	4.684
6.630	4.717
6.640	4.759
6.650	4.791
6.657	4.824
6.669	4.866
6.679	4.898
6.686	4.930
6.692	4.963
6.700	5.005
6.706	5.037
6.713	5.070
6.717	5.102
6.723	5.134
6.725	5.166
6.731	5.209
6.734	5.246
6.734	5.278
6.737	5.310
6.737	5.342
6.735	5.380
6.733	5.417
6.726	5.465
6.724	5.497
6.716	5.540
6.714	5.572
6.707	5.604
6.705	5.636
6.704	5.668
6.700	5.701
6.695	5.749
6.688	5.797
6.682	5.829
6.665	5.879
6.645	5.921
6.623	5.953
6.602	5.980
6.577	6.016
6.544	6.045
6.519	6.071
6.485	6.099
6.458	6.124
6.426	6.154
6.402	6.180
6.368	6.209
6.338	6.239
6.304	6.278
6.272	6.307
6.241	6.338
6.210	6.369
6.180	6.400
6.150	6.432
6.120	6.464
6.091	6.496
6.061	6.528
6.031	6.560
5.998	6.588
5.974	6.615
5.943	6.646
5.919	6.674
5.884	6.700
5.850	6.729
5.826	6.756
5.795	6.785
5.761	6.813
5.738	6.841
5.704	6.870
5.678	6.895
5.641	6.926
5.613	6.943
5.583	6.964
5.547	6.988
5.510	7.010
5.468	7.032
5.425	7.048
5.391	7.064
5.361	7.075
5.321	7.086
5.292	7.095
5.247	7.105
5.217	7.108
5.178	7.117
5.143	7.118
5.109	7.121
5.079	7.121
5.044	7.121
5.010	7.119
4.980	7.117
4.951	7.111
4.921	7.102
4.875	7.085
4.837	7.063
4.807	7.043
4.778	7.021
4.751	6.997
4.715	6.970
4.689	6.946
4.655	6.916
4.633	6.888
4.601	6.860
4.567	6.824
4.541	6.786
4.509	6.746
4.494	6.718
4.473	6.687
